,y,e,g,u,q,a,b,j,s,n,o,i,x,r,t,z,m,k,f,w,l,h,p,v,c,d
q0-q113,q0,q14-q0-q126,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q14-q0-q75,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q15-q0,q0-q98,q8-q0,q16-q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q17-q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q0-q76-q6,q0-q29,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0-q99,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q0-q77-q12,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0-q19,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0-q100,q138-q0
q0-q78-q6,q0-q29,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0-q101,q138-q0
q0-q7-q78,q0,q14-q0-q28,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q102-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q8-q0-q79,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q103-q9,q26-q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q27-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q0-q80-q12,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0-q19,q0,q8-q0,q0,q0-q7-q104,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q14-q0-q81,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q15-q0,q0,q8-q0,q16-q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q17-q3-q0,q0,q0,q0-q2,q1-q0,q138-q0-q104
q11-q82-q0,q0,q14-q0,q13-q0,q20-q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q105-q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q3-q0-q83,q0,q14-q0-q106,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q33-q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q13-q85-q0,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q18-q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q138-q0-q86,q0,q38-q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q38-q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q11-q0-q87,q0,q14-q0,q13-q0,q20-q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6-q107,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q88-q14-q0,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q15-q0,q0,q8-q0,q16-q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q17-q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q89-q0-q9,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0-q22,q0,q0-q7,q108-q0-q23-q6,q0,q0,q0,q5-q0,q0-q24-q4,q3-q0,q0-q25,q0,q0-q2,q1-q0,q138-q0
q90-q0-q6,q0-q29,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q109-q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
